Date,Close
7/1/2015 16:00:00,39.97
7/2/2015 16:00:00,40.65
7/6/2015 16:00:00,39.74
7/7/2015 16:00:00,39.79
7/8/2015 16:00:00,39.16
7/9/2015 16:00:00,38.74
7/10/2015 16:00:00,39.38
7/13/2015 16:00:00,39.74
7/14/2015 16:00:00,39.74
7/15/2015 16:00:00,39.75
7/16/2015 16:00:00,40.12
7/17/2015 16:00:00,39.97
7/20/2015 16:00:00,39.23
7/21/2015 16:00:00,38.81
7/22/2015 16:00:00,37.85
7/23/2015 16:00:00,37.5
7/24/2015 16:00:00,37.78
7/27/2015 16:00:00,37.79
7/28/2015 16:00:00,38.15
7/29/2015 16:00:00,38.05
7/30/2015 16:00:00,38.69
7/31/2015 16:00:00,38.91
8/3/2015 16:00:00,37.72
8/4/2015 16:00:00,38.04
8/5/2015 16:00:00,37.5
8/6/2015 16:00:00,37.61
8/7/2015 16:00:00,36.86
8/10/2015 16:00:00,37.13
8/11/2015 16:00:00,36.78
8/12/2015 16:00:00,37.05
8/13/2015 16:00:00,36.09
8/14/2015 16:00:00,36.08
8/17/2015 16:00:00,36.24
8/18/2015 16:00:00,36.39
8/19/2015 16:00:00,35.32
8/20/2015 16:00:00,34.51
8/21/2015 16:00:00,33.9
8/24/2015 16:00:00,32.74
8/25/2015 16:00:00,32.36
8/26/2015 16:00:00,32.48
8/27/2015 16:00:00,34.17
8/28/2015 16:00:00,34.44
8/31/2015 16:00:00,34.62
9/1/2015 16:00:00,33.28
9/2/2015 16:00:00,33.1
9/3/2015 16:00:00,33.62
9/4/2015 16:00:00,32.95
9/8/2015 16:00:00,33.23
9/9/2015 16:00:00,32.97
9/10/2015 16:00:00,33.01
9/11/2015 16:00:00,32.23
9/14/2015 16:00:00,32.61
9/15/2015 16:00:00,32.29
9/16/2015 16:00:00,33.32
9/17/2015 16:00:00,33.42
9/18/2015 16:00:00,33.34
9/21/2015 16:00:00,34.54
9/22/2015 16:00:00,33.85
9/23/2015 16:00:00,32.78
9/24/2015 16:00:00,32.78
9/25/2015 16:00:00,33.15
9/28/2015 16:00:00,31.05
9/29/2015 16:00:00,30.82
9/30/2015 16:00:00,31.58
10/1/2015 16:00:00,31.89
10/2/2015 16:00:00,32.5
10/5/2015 16:00:00,34.2
10/6/2015 16:00:00,34.48
10/7/2015 16:00:00,35.29
10/8/2015 16:00:00,35.24
10/9/2015 16:00:00,34.82
10/12/2015 16:00:00,34.84
10/13/2015 16:00:00,34.54
10/14/2015 16:00:00,34.95
10/15/2015 16:00:00,34.97
10/16/2015 16:00:00,34.91
10/19/2015 16:00:00,34.05
10/20/2015 16:00:00,34.53
10/21/2015 16:00:00,34.09
10/22/2015 16:00:00,34.24
10/23/2015 16:00:00,34.09
10/26/2015 16:00:00,33.67
10/27/2015 16:00:00,33.37
10/28/2015 16:00:00,33.94
10/29/2015 16:00:00,33.87
10/30/2015 16:00:00,33.59
11/2/2015 16:00:00,33.71
11/3/2015 16:00:00,34.02
11/4/2015 16:00:00,34.28
11/5/2015 16:00:00,34.36
11/6/2015 16:00:00,32.56
11/9/2015 16:00:00,32.51
11/10/2015 16:00:00,32.22
11/11/2015 16:00:00,31.77
11/12/2015 16:00:00,30.98
11/13/2015 16:00:00,31.01
11/16/2015 16:00:00,31.92
11/17/2015 16:00:00,31.9
11/18/2015 16:00:00,32.34
11/19/2015 16:00:00,32.75
11/20/2015 16:00:00,32.62
11/23/2015 16:00:00,32.15
11/24/2015 16:00:00,32.55
11/25/2015 16:00:00,32.26
11/27/2015 16:00:00,31.88
11/30/2015 16:00:00,31.59
12/1/2015 16:00:00,32.42
12/2/2015 16:00:00,32.02
12/3/2015 16:00:00,31.22
12/4/2015 16:00:00,31.27
12/7/2015 16:00:00,30.55
12/8/2015 16:00:00,30.17
12/9/2015 16:00:00,32.26
12/10/2015 16:00:00,32.76
12/11/2015 16:00:00,32.08
12/14/2015 16:00:00,33.71
12/15/2015 16:00:00,34.2
12/16/2015 16:00:00,34.95
12/17/2015 16:00:00,33.4
12/18/2015 16:00:00,32.8
12/21/2015 16:00:00,32.05
12/22/2015 16:00:00,32.47
12/23/2015 16:00:00,33.83
12/24/2015 16:00:00,33.75
12/28/2015 16:00:00,33.25
12/29/2015 16:00:00,33.27
12/30/2015 16:00:00,32.57
12/31/2015 16:00:00,32.59
1/4/2016 16:00:00,32.5
1/5/2016 16:00:00,32.22
1/6/2016 16:00:00,31.7
1/7/2016 16:00:00,30.45
1/8/2016 16:00:00,30.73
1/11/2016 16:00:00,30.86
1/12/2016 16:00:00,31.57
1/13/2016 16:00:00,30.81
1/14/2016 16:00:00,31.3
1/15/2016 16:00:00,29.49
1/19/2016 16:00:00,29.56
1/20/2016 16:00:00,29.71
1/21/2016 16:00:00,31.38
1/22/2016 16:00:00,33.12
1/25/2016 16:00:00,32.17
1/26/2016 16:00:00,33.48
1/27/2016 16:00:00,33.55
1/28/2016 16:00:00,34.57
1/29/2016 16:00:00,34.56
2/1/2016 16:00:00,34.4
2/2/2016 16:00:00,33.85
2/3/2016 16:00:00,34.9
2/4/2016 16:00:00,35.68
2/5/2016 16:00:00,35.5
2/8/2016 16:00:00,34.92
2/9/2016 16:00:00,34.44
2/10/2016 16:00:00,34.63
2/11/2016 16:00:00,34.62
2/12/2016 16:00:00,35.07
2/16/2016 16:00:00,35.3
2/17/2016 16:00:00,36.45
2/18/2016 16:00:00,36.56
2/19/2016 16:00:00,36.31
2/22/2016 16:00:00,37.05
2/23/2016 16:00:00,36.92
2/24/2016 16:00:00,37.08
2/25/2016 16:00:00,35.96
2/26/2016 16:00:00,36.76
2/29/2016 16:00:00,36.7
3/1/2016 16:00:00,36.75
3/2/2016 16:00:00,36.43
3/3/2016 16:00:00,36.81
3/4/2016 16:00:00,36.99
3/7/2016 16:00:00,37.24
3/8/2016 16:00:00,36.98
3/9/2016 16:00:00,37.12
3/10/2016 16:00:00,35.66
3/11/2016 16:00:00,35.96
3/14/2016 16:00:00,35.77
3/15/2016 16:00:00,36.25
3/16/2016 16:00:00,36.7
3/17/2016 16:00:00,38.08
3/18/2016 16:00:00,37.65
3/21/2016 16:00:00,37.04
3/22/2016 16:00:00,37.8
3/23/2016 16:00:00,37.58
3/24/2016 16:00:00,37.79
3/28/2016 16:00:00,38.02
3/29/2016 16:00:00,37.95
3/30/2016 16:00:00,39.15
3/31/2016 16:00:00,39.31
4/1/2016 16:00:00,38.15
4/4/2016 16:00:00,37.87
4/5/2016 16:00:00,37.06
4/6/2016 16:00:00,37.61
4/7/2016 16:00:00,37.57
4/8/2016 16:00:00,38.68
4/11/2016 16:00:00,39.09
4/12/2016 16:00:00,39.27
4/13/2016 16:00:00,39.09
4/14/2016 16:00:00,39.29
4/15/2016 16:00:00,39.15
4/18/2016 16:00:00,39.95
4/19/2016 16:00:00,40.71
4/20/2016 16:00:00,40.86
4/21/2016 16:00:00,40.71
4/22/2016 16:00:00,40.19
4/25/2016 16:00:00,40.06
4/26/2016 16:00:00,40.38
4/27/2016 16:00:00,40.97
4/28/2016 16:00:00,41.45
4/29/2016 16:00:00,41.49
5/2/2016 16:00:00,41.67
5/3/2016 16:00:00,40.58
5/4/2016 16:00:00,40.05
5/5/2016 16:00:00,40.14
5/6/2016 16:00:00,39.85
5/9/2016 16:00:00,39.43
5/10/2016 16:00:00,39.92
5/11/2016 16:00:00,40.28
5/12/2016 16:00:00,40.33
5/13/2016 16:00:00,39.99
5/16/2016 16:00:00,40.85
5/17/2016 16:00:00,40.85
5/18/2016 16:00:00,40.13
5/19/2016 16:00:00,40.33
5/20/2016 16:00:00,40.76
5/23/2016 16:00:00,40.4
5/24/2016 16:00:00,40.77
5/25/2016 16:00:00,41.36
5/26/2016 16:00:00,41.55
5/27/2016 16:00:00,41.85
5/31/2016 16:00:00,41.46
6/1/2016 16:00:00,42.27
6/2/2016 16:00:00,42.44
6/3/2016 16:00:00,42.93
6/6/2016 16:00:00,43.89
6/7/2016 16:00:00,43.77
6/8/2016 16:00:00,43.26
6/9/2016 16:00:00,43.41
6/10/2016 16:00:00,42.84
6/13/2016 16:00:00,42.83
6/14/2016 16:00:00,42.91
6/15/2016 16:00:00,42.69
6/16/2016 16:00:00,42.84
6/17/2016 16:00:00,43.37
6/20/2016 16:00:00,43.8
6/21/2016 16:00:00,44.65
6/22/2016 16:00:00,44.49
6/23/2016 16:00:00,44.96
6/24/2016 16:00:00,44.09
6/27/2016 16:00:00,43.79
6/28/2016 16:00:00,43.8
6/29/2016 16:00:00,44.69
6/30/2016 16:00:00,45.22
7/1/2016 16:00:00,45.93
7/5/2016 16:00:00,46.08
7/6/2016 16:00:00,46.61
7/7/2016 16:00:00,46.21
7/8/2016 16:00:00,46.23
7/11/2016 16:00:00,45.92
7/12/2016 16:00:00,46.25
7/13/2016 16:00:00,46.77
7/14/2016 16:00:00,47.08
7/15/2016 16:00:00,47.26
7/18/2016 16:00:00,46.68
7/19/2016 16:00:00,46.51
7/20/2016 16:00:00,46.17
7/21/2016 16:00:00,46.17
7/22/2016 16:00:00,45.79
7/25/2016 16:00:00,45.65
7/26/2016 16:00:00,45.53
7/27/2016 16:00:00,45.11
7/28/2016 16:00:00,45.88
7/29/2016 16:00:00,46.35
8/1/2016 16:00:00,45.72
8/2/2016 16:00:00,46.29
8/3/2016 16:00:00,46.2
8/4/2016 16:00:00,46.5
8/5/2016 16:00:00,46.26
8/8/2016 16:00:00,46.91
8/9/2016 16:00:00,47.12
8/10/2016 16:00:00,46.97
8/11/2016 16:00:00,47.7
8/12/2016 16:00:00,47.86
8/15/2016 16:00:00,48.17
8/16/2016 16:00:00,47.76
8/17/2016 16:00:00,47.48
8/18/2016 16:00:00,47.84
8/19/2016 16:00:00,47.64
8/22/2016 16:00:00,47.65
8/23/2016 16:00:00,47.43
8/24/2016 16:00:00,46.76
8/25/2016 16:00:00,46.68
8/26/2016 16:00:00,46.25
8/29/2016 16:00:00,46.23
8/30/2016 16:00:00,45.7
8/31/2016 16:00:00,45.45
9/1/2016 16:00:00,46.18
9/2/2016 16:00:00,46.69
9/6/2016 16:00:00,46.23
9/7/2016 16:00:00,46.46
9/8/2016 16:00:00,47.23
9/9/2016 16:00:00,46.7
9/12/2016 16:00:00,47.16
9/13/2016 16:00:00,46.08
9/14/2016 16:00:00,46.2
9/15/2016 16:00:00,46.77
9/16/2016 16:00:00,46.84
9/19/2016 16:00:00,46.99
9/20/2016 16:00:00,46.89
9/21/2016 16:00:00,47.65
9/22/2016 16:00:00,48.28
9/23/2016 16:00:00,47.8
9/26/2016 16:00:00,47.11
9/27/2016 16:00:00,47.06
9/28/2016 16:00:00,47.64
9/29/2016 16:00:00,47.6
9/30/2016 16:00:00,47.56
10/3/2016 16:00:00,47.51
10/4/2016 16:00:00,46.96
10/5/2016 16:00:00,46.93
10/6/2016 16:00:00,46.61
10/7/2016 16:00:00,46.31
10/10/2016 16:00:00,47.38
10/11/2016 16:00:00,45.66
10/12/2016 16:00:00,46.14
10/13/2016 16:00:00,46.25
10/14/2016 16:00:00,46.04
10/17/2016 16:00:00,46.56
10/18/2016 16:00:00,47.27
10/19/2016 16:00:00,47.64
10/20/2016 16:00:00,47.13
10/21/2016 16:00:00,47.16
10/24/2016 16:00:00,46.27
10/25/2016 16:00:00,45.76
10/26/2016 16:00:00,45.89
10/27/2016 16:00:00,45.85
10/28/2016 16:00:00,45.42
10/31/2016 16:00:00,45.28
11/1/2016 16:00:00,45.25
11/2/2016 16:00:00,43.08
11/3/2016 16:00:00,43
11/4/2016 16:00:00,43.22
11/7/2016 16:00:00,43.66
11/8/2016 16:00:00,43.76
11/9/2016 16:00:00,44.82
11/10/2016 16:00:00,44.67
11/11/2016 16:00:00,43.47
