Date,Close
7/1/2015 16:00:00,60.03
7/2/2015 16:00:00,60.52
7/6/2015 16:00:00,59.06
7/7/2015 16:00:00,59.65
7/8/2015 16:00:00,58.36
7/9/2015 16:00:00,58.67
7/10/2015 16:00:00,59.13
7/13/2015 16:00:00,58.93
7/14/2015 16:00:00,59.53
7/15/2015 16:00:00,58.42
7/16/2015 16:00:00,57.95
7/17/2015 16:00:00,57.2
7/20/2015 16:00:00,56.57
7/21/2015 16:00:00,56.49
7/22/2015 16:00:00,55.83
7/23/2015 16:00:00,54.04
7/24/2015 16:00:00,52.09
7/27/2015 16:00:00,50.65
7/28/2015 16:00:00,52.24
7/29/2015 16:00:00,52.9
7/30/2015 16:00:00,52.07
7/31/2015 16:00:00,50.34
8/3/2015 16:00:00,49.71
8/4/2015 16:00:00,49.87
8/5/2015 16:00:00,49.12
8/6/2015 16:00:00,50.28
8/7/2015 16:00:00,48.84
8/10/2015 16:00:00,50.2
8/11/2015 16:00:00,50.4
8/12/2015 16:00:00,51.54
8/13/2015 16:00:00,50.1
8/14/2015 16:00:00,49.77
8/17/2015 16:00:00,49.56
8/18/2015 16:00:00,49.51
8/19/2015 16:00:00,47.68
8/20/2015 16:00:00,47
8/21/2015 16:00:00,45.39
8/24/2015 16:00:00,42.93
8/25/2015 16:00:00,42.19
8/26/2015 16:00:00,43.41
8/27/2015 16:00:00,45.87
8/28/2015 16:00:00,46.82
8/31/2015 16:00:00,49.15
9/1/2015 16:00:00,47.75
9/2/2015 16:00:00,48.19
9/3/2015 16:00:00,48.18
9/4/2015 16:00:00,47.2
9/8/2015 16:00:00,48.46
9/9/2015 16:00:00,47.85
9/10/2015 16:00:00,48.43
9/11/2015 16:00:00,47.36
9/14/2015 16:00:00,46.77
9/15/2015 16:00:00,47.28
9/16/2015 16:00:00,49.47
9/17/2015 16:00:00,50.13
9/18/2015 16:00:00,48.36
9/21/2015 16:00:00,48.75
9/22/2015 16:00:00,48.62
9/23/2015 16:00:00,47.86
9/24/2015 16:00:00,47.76
9/25/2015 16:00:00,47.19
9/28/2015 16:00:00,45.85
9/29/2015 16:00:00,46.57
9/30/2015 16:00:00,47.96
10/1/2015 16:00:00,48.16
10/2/2015 16:00:00,51.19
10/5/2015 16:00:00,52.98
10/6/2015 16:00:00,55.14
10/7/2015 16:00:00,55.27
10/8/2015 16:00:00,56.28
10/9/2015 16:00:00,56.1
10/12/2015 16:00:00,55.27
10/13/2015 16:00:00,55.04
10/14/2015 16:00:00,55.46
10/15/2015 16:00:00,55.23
10/16/2015 16:00:00,55.23
10/19/2015 16:00:00,53.69
10/20/2015 16:00:00,53.54
10/21/2015 16:00:00,52.97
10/22/2015 16:00:00,54.58
10/23/2015 16:00:00,54.61
10/26/2015 16:00:00,52.95
10/27/2015 16:00:00,51.69
10/28/2015 16:00:00,53.34
10/29/2015 16:00:00,53.62
10/30/2015 16:00:00,53.35
11/2/2015 16:00:00,54.94
11/3/2015 16:00:00,56.73
11/4/2015 16:00:00,56.34
11/5/2015 16:00:00,56.28
11/6/2015 16:00:00,55.77
11/9/2015 16:00:00,54.64
11/10/2015 16:00:00,54.65
11/11/2015 16:00:00,53.44
11/12/2015 16:00:00,51.97
11/13/2015 16:00:00,51.83
11/16/2015 16:00:00,54.37
11/17/2015 16:00:00,53.9
11/18/2015 16:00:00,54.48
11/19/2015 16:00:00,53.56
11/20/2015 16:00:00,52.93
11/23/2015 16:00:00,53.28
11/24/2015 16:00:00,55.32
11/25/2015 16:00:00,54.38
11/27/2015 16:00:00,53.48
11/30/2015 16:00:00,54.05
12/1/2015 16:00:00,54.61
12/2/2015 16:00:00,52.55
12/3/2015 16:00:00,51.61
12/4/2015 16:00:00,51.19
12/7/2015 16:00:00,48.99
12/8/2015 16:00:00,48.3
12/9/2015 16:00:00,48.47
12/10/2015 16:00:00,49.22
12/11/2015 16:00:00,48.13
12/14/2015 16:00:00,49.53
12/15/2015 16:00:00,50.56
