Date,Close
7/22/2015 16:00:00,1.03
7/27/2015 16:00:00,0.95
7/28/2015 16:00:00,0.95
7/29/2015 16:00:00,0.99
7/31/2015 16:00:00,1.01
8/6/2015 16:00:00,0.96
8/10/2015 16:00:00,0.87
8/14/2015 16:00:00,0.95
8/17/2015 16:00:00,0.91
8/21/2015 16:00:00,0.84
8/24/2015 16:00:00,0.75
8/25/2015 16:00:00,0.84
8/26/2015 16:00:00,0.84
9/9/2015 16:00:00,0.78
9/11/2015 16:00:00,0.75
9/14/2015 16:00:00,0.75
9/22/2015 16:00:00,0.75
9/30/2015 16:00:00,0.68
10/13/2015 16:00:00,0.68
10/21/2015 16:00:00,0.85
10/26/2015 16:00:00,0.75
10/28/2015 16:00:00,0.84
10/29/2015 16:00:00,0.84
11/2/2015 16:00:00,0.74
11/3/2015 16:00:00,0.79
11/4/2015 16:00:00,0.81
11/19/2015 16:00:00,0.72
11/24/2015 16:00:00,0.69
11/25/2015 16:00:00,0.73
12/2/2015 16:00:00,0.71
12/4/2015 16:00:00,0.7
12/11/2015 16:00:00,0.64
12/24/2015 16:00:00,0.68
12/28/2015 16:00:00,0.64
12/31/2015 16:00:00,0.64
1/4/2016 16:00:00,0.65
1/5/2016 16:00:00,0.65
1/7/2016 16:00:00,0.58
1/8/2016 16:00:00,0.6
1/11/2016 16:00:00,0.55
1/14/2016 16:00:00,0.55
1/19/2016 16:00:00,0.54
1/27/2016 16:00:00,0.57
2/11/2016 16:00:00,0.54
2/16/2016 16:00:00,0.6
3/7/2016 16:00:00,0.68
4/19/2016 16:00:00,0.66
4/25/2016 16:00:00,0.69
4/27/2016 16:00:00,0.73
5/19/2016 16:00:00,0.66
5/24/2016 16:00:00,0.65
5/31/2016 16:00:00,0.65
6/1/2016 16:00:00,0.67
6/6/2016 16:00:00,0.7
6/22/2016 16:00:00,0.66
7/15/2016 16:00:00,0.72
7/18/2016 16:00:00,0.74
7/20/2016 16:00:00,0.74
7/22/2016 16:00:00,0.66
7/29/2016 16:00:00,0.68
8/10/2016 16:00:00,0.68
8/11/2016 16:00:00,0.67
8/17/2016 16:00:00,0.66
8/18/2016 16:00:00,0.7
8/22/2016 16:00:00,0.65
9/12/2016 16:00:00,0.65
9/27/2016 16:00:00,0.62
10/5/2016 16:00:00,0.73
10/10/2016 16:00:00,0.73
10/11/2016 16:00:00,0.74
10/14/2016 16:00:00,0.73
10/27/2016 16:00:00,0.68
11/7/2016 16:00:00,0.68
11/11/2016 16:00:00,0.63
11/21/2016 16:00:00,0.63
11/28/2016 16:00:00,0.68
12/6/2016 16:00:00,0.7
12/7/2016 16:00:00,0.7
12/13/2016 16:00:00,0.71
12/14/2016 16:00:00,0.76
12/16/2016 16:00:00,0.72
12/23/2016 16:00:00,0.71
12/28/2016 16:00:00,0.74
12/30/2016 16:00:00,0.73
1/19/2017 16:00:00,0.77
2/8/2017 16:00:00,0.77
2/17/2017 16:00:00,0.73
3/1/2017 16:00:00,0.74
3/13/2017 16:00:00,0.72
3/15/2017 16:00:00,0.71
3/31/2017 16:00:00,0.76
4/7/2017 16:00:00,0.72
4/19/2017 16:00:00,0.73
4/20/2017 16:00:00,0.71
4/25/2017 16:00:00,0.7
5/9/2017 16:00:00,0.67
5/30/2017 16:00:00,0.67
6/6/2017 16:00:00,0.62
6/30/2017 16:00:00,0.57
7/17/2017 16:00:00,0.6
7/26/2017 16:00:00,0.64
8/1/2017 16:00:00,0.66
8/3/2017 16:00:00,0.65
8/11/2017 16:00:00,0.59
8/14/2017 16:00:00,0.61
8/23/2017 16:00:00,0.64
8/24/2017 16:00:00,0.64
9/13/2017 16:00:00,0.63
9/26/2017 16:00:00,0.65
11/2/2017 16:00:00,0.67
11/8/2017 16:00:00,0.73
11/16/2017 16:00:00,0.66
11/21/2017 16:00:00,0.63
11/27/2017 16:00:00,0.63
12/4/2017 16:00:00,0.64
12/13/2017 16:00:00,0.71
12/20/2017 16:00:00,0.68
12/21/2017 16:00:00,0.65
12/28/2017 16:00:00,0.68
12/29/2017 16:00:00,0.67
1/4/2018 16:00:00,0.72
1/11/2018 16:00:00,0.77
1/19/2018 16:00:00,0.73
1/26/2018 16:00:00,0.76
1/29/2018 16:00:00,0.85
1/30/2018 16:00:00,0.77
1/31/2018 16:00:00,0.8
2/2/2018 16:00:00,0.79
2/6/2018 16:00:00,0.76
2/8/2018 16:00:00,0.7
2/9/2018 16:00:00,0.67
2/22/2018 16:00:00,0.71
2/26/2018 16:00:00,0.71
2/27/2018 16:00:00,0.71
3/5/2018 16:00:00,0.68
3/12/2018 16:00:00,0.7
3/13/2018 16:00:00,0.7
